ndims,neval,result_mean,result_sdev,result_gen_time,result_eval_time,run_num,eval_time_perc,total_time
6,10000,5.965396511642774e-44,5.965396511642501e-44,0.02094411849975586,0.0069811344146728516,4,0.25,0.02792525291442871
6,100000,1.3911162577926736e-10,1.3911162525877609e-10,0.004986763000488281,0.005984067916870117,4,0.55,0.010970830917358398
6,1000000,0.0025743603491626987,0.0025743603491621284,0.049866676330566406,0.058843135833740234,4,0.54,0.10870981216430664
6,10000000,0.0016181889762972663,0.0010987696672766988,0.40691137313842773,0.5804483890533447,4,0.59,0.9873597621917725
8,10000,6.302593879147466e-113,6.302593879147427e-113,0.031914472579956055,0.009973764419555664,4,0.24,0.04188823699951172
8,100000,1.4642280352729345e-70,1.464228035272933e-70,0.004986286163330078,0.007978677749633789,4,0.62,0.012964963912963867
8,1000000,7.609371429923288e-30,7.382750987766275e-30,0.05385589599609375,0.07480001449584961,4,0.58,0.12865591049194336
8,10000000,1.621751260203667e-22,1.6215208424524053e-22,0.5425496101379395,0.7380268573760986,4,0.58,1.280576467514038
2,10000,1.0610711761613352,0.29376837474877077,0.04388260841369629,0.008976936340332031,5,0.17,0.05285954475402832
2,100000,1.1309298028848151,0.0954893522239956,0.0009965896606445312,0.0029916763305664062,5,0.75,0.0039882659912109375
2,1000000,1.0149852843642277,0.028575790492061968,0.016954898834228516,0.03191518783569336,5,0.65,0.048870086669921875
2,10000000,1.0025031320317468,0.008918466482297957,0.13663411140441895,0.2982027530670166,5,0.69,0.43483686447143555
4,10000,1.1596288412395107e-16,8.921027987500759e-17,0.01595783233642578,0.00698089599609375,5,0.3,0.02293872833251953
4,100000,0.14609290804790123,0.10129638654637463,0.0029916763305664062,0.003989458084106445,5,0.57,0.0069811344146728516
4,1000000,0.19915128018344241,0.08765852942146479,0.026927947998046875,0.04488015174865723,5,0.63,0.0718080997467041
4,10000000,0.7443041358672181,0.1913659374991113,0.2712743282318115,0.44880032539367676,5,0.62,0.7200746536254883
6,10000,1.5389532453537696e-72,1.538952964457482e-72,0.02094435691833496,0.006981372833251953,5,0.25,0.027925729751586914
6,100000,8.120442810723028e-28,8.119984220154708e-28,0.00498652458190918,0.005983829498291016,5,0.55,0.010970354080200195
6,1000000,2.0715117017051676e-10,2.0714917567795345e-10,0.04089045524597168,0.05884361267089844,5,0.59,0.09973406791687012
6,10000000,0.0031158456800926266,0.0031107956583333973,0.43184494972229004,0.5854346752166748,5,0.58,1.0172796249389648
8,10000,1.8884634140112593e-185,0.0,0.02991962432861328,0.010970830917358398,5,0.27,0.04089045524597168
